model,task_name,fold,training_mode,inner_best_score,selected_params_json
random_forest,stage,cross_eval,tuned,0.21572771087990059,"{""class_weight"": ""balanced"", ""max_depth"": 10, ""min_samples_leaf"": 1, ""n_estimators"": 400, ""n_jobs"": -1}"
random_forest,apnea,cross_eval,tuned,0.5448703773037565,"{""class_weight"": ""balanced"", ""max_depth"": 10, ""min_samples_leaf"": 5, ""n_estimators"": 200, ""n_jobs"": -1}"
xgboost,stage,cross_eval,tuned,0.20249970197660308,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 7, ""n_estimators"": 300, ""n_jobs"": -1, ""scale_pos_weight"": 1.0, ""subsample"": 0.8, ""tree_method"": ""hist""}"
xgboost,apnea,cross_eval,tuned,0.561804970219966,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 300, ""n_jobs"": -1, ""scale_pos_weight"": 1.0, ""subsample"": 1.0, ""tree_method"": ""hist""}"
svm_rbf,stage,cross_eval,tuned,0.22465709872399595,"{""C"": 10, ""class_weight"": ""balanced"", ""gamma"": 0.1}"
svm_rbf,apnea,cross_eval,tuned,0.5072242971130582,"{""C"": 0.1, ""class_weight"": ""balanced"", ""gamma"": 0.01}"
