model,fold,training_mode,inner_best_score,selected_params_json
random_forest,cross_eval,tuned,0.7323337824978954,"{""class_weight"": ""balanced"", ""max_depth"": 20, ""min_samples_leaf"": 1, ""n_estimators"": 400, ""n_jobs"": -1}"
xgboost,cross_eval,tuned,0.7377278043787935,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 300, ""n_jobs"": -1, ""subsample"": 0.8, ""tree_method"": ""hist""}"
svm_rbf,cross_eval,tuned,0.6724902764804491,"{""C"": 10, ""class_weight"": ""balanced"", ""gamma"": 0.01}"
