model,fold,accuracy,macro_f1,cohen_kappa,n_parameters,train_seconds,avg_epoch_seconds,max_vram_mb,checkpoint_size_mb,best_epoch,ssl_pretrain_seconds,per_class_f1_w,per_class_f1_n1,per_class_f1_n2,per_class_f1_n3,per_class_f1_rem
cnn,0,0.49784379492093916,0.33341716843226654,0.31852843586741475,108741,35.670680499999435,27.361257399999886,29.75439453125,0.0,0,0.0,0.8548428979485848,0.21052631578947367,0.13114754098360656,0.3016949152542373,0.16887417218543047
cnn,1,0.6083297367285283,0.49551681769067873,0.4752028051380358,108741,30.767202000002726,22.557201300005545,33.669921875,0.0,0,0.0,0.7825814536340853,0.1152542372881356,0.7115181401902079,0.43908045977011495,0.4291497975708502
